S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
2,08-04-21,1,-96.64844,-0.29073757,-229.42514,-0.690158,
2,05-01-17,1,22.451172,0.12467713,-49.623535,-0.2755804,
2,12-05-20,3,132.20117,0.70532656,-91.06865,-0.49608257,
2,09-09-22,1,72.34766,0.17850815,-89.91325,-0.22185089,
2,29-05-20,3,-189.90039,-0.98675764,-420.3984,-2.1847944,
2,28-12-20,1,8.849609,0.028818956,-113.99849,-0.3712436,
2,11-06-20,1,-74.59961,-0.35675243,-158.09341,-0.7560405,
2,13-10-20,1,-39.04883,-0.1646928,-133.81113,-0.5643609,
2,11-06-21,1,-99.60156,-0.2820647,-240.64877,-0.6815107,
2,19-08-19,1,-115.15039,-0.40550694,-228.50668,-0.804693,
2,16-04-20,1,122.84961,0.6424836,46.119698,0.24119565,
2,28-12-21,1,-143.25,-0.4059293,-284.1211,-0.80511737,
2,16-10-18,1,82.09961,0.3210678,-20.347801,-0.079573795,
2,01-02-22,2,567.40625,1.478518,258.83224,0.6755706,
2,01-02-21,3,882.0488,2.764066,499.90613,1.558532,
2,02-02-23,1,68.05078,0.1680648,-94.04854,-0.23226726,
2,15-09-20,1,95.70117,0.42745304,5.9549637,0.02659859,
2,02-02-22,1,195.85156,0.50371075,39.932846,0.10270524,
2,06-11-20,2,-153.04883,-0.5743158,-365.82654,-1.3731658,
2,12-05-16,1,46.5,0.2755923,-21.084,-0.12495878,
2,30-07-20,1,-89.65039,-0.40303087,-178.4473,-0.8022247,
2,19-08-20,1,-45.0,-0.2015276,-134.2278,-0.601119,
2,09-10-19,2,309.05273,1.1084731,81.07942,0.30625147,
2,17-03-16,1,-22.84961,-0.14593768,-85.43231,-0.5456478,
2,23-03-22,1,-114.85156,-0.3123513,-261.70187,-0.7117194,
2,09-04-20,3,-205.95117,-1.0437875,-442.61346,-2.2417088,
2,21-09-20,1,-81.0,-0.36708805,-169.1002,-0.76635116,
2,23-03-20,1,-443.54883,-2.4810867,-514.17053,-2.8761213,
2,23-03-21,2,-31.648438,-0.09339701,-304.31094,-0.8932148,
