Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
121,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
122,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
123,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
124,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
125,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
126,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
127,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,80,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
128,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,90,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
129,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
130,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
131,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,100,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
132,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,125,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
133,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
134,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,175,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
135,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,200,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
136,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
137,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,1,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
138,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,2,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
139,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,3,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
140,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,4,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
141,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
142,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
143,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,5,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
144,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,6,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
145,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,7,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
146,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
147,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
148,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
149,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
150,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
151,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
152,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
153,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
154,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
155,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
156,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,30,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
