S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1,07-09-17,2,-107.79883,-0.4420069,-156.51562,-0.64178056,
1,12-09-17,1,3.0507812,0.012317581,-21.71875,-0.08768982,
1,13-09-17,1,29.34961,0.11822316,4.5097656,0.018165788,
1,15-09-17,1,-70.55078,-0.28319716,-95.427734,-0.38305548,
1,19-09-17,1,-33.15039,-0.13223368,-58.203125,-0.23216662,
1,22-09-17,1,-286.20117,-1.1525661,-310.89062,-1.2519934,
1,26-09-17,1,-81.64844,-0.3378377,-105.77539,-0.43766806,
1,04-10-17,2,-133.80078,-0.5531776,-182.09375,-0.7529062,
1,06-10-17,1,-13.650391,-0.05651224,-37.79883,-0.15648611,
1,09-10-17,1,-46.15039,-0.19025126,-70.384766,-0.29015553,
1,10-10-17,1,27.199219,0.111934856,2.8847656,0.011871879,
1,11-10-17,1,-98.19922,-0.40202743,-122.57617,-0.50182664,
1,13-10-17,1,484.5,2.0038588,460.07812,1.9028517,
1,17-10-17,1,-70.0,-0.2823298,-94.75781,-0.38218504,
1,24-10-17,1,-39.851562,-0.16460411,-64.04297,-0.26452506,
1,26-10-17,1,-167.40039,-0.66721296,-192.40625,-0.76687956,
1,27-10-17,1,-88.59961,-0.35461548,-113.53906,-0.4544344,
1,30-10-17,1,-6.0,-0.023989156,-31.007812,-0.1239752,
1,31-10-17,1,-45.25,-0.18062574,-70.2793,-0.2805359,
1,06-11-17,2,-6.201172,-0.023109004,-57.396484,-0.22308831,
1,10-11-17,1,-58.05078,-0.22867243,-83.4082,-0.32855985,
1,15-11-17,1,-108.05078,-0.42678887,-133.31445,-0.52657765,
1,21-11-17,2,2.0,0.007973239,-49.601562,-0.19202827,
1,28-11-17,1,80.34961,0.31178305,54.539062,0.2116296,
1,06-12-17,1,-59.75,-0.23814125,-84.81055,-0.33802328,
1,11-12-17,2,195.70117,0.78432155,145.0957,0.5839225,
1,15-12-17,2,321.59766,1.2850447,270.85547,1.0843976,
1,18-12-17,1,65.30078,0.2552073,39.68164,0.15508305,
1,20-12-17,1,-107.15039,-0.416291,-132.83594,-0.51608217,
1,22-12-17,1,-14.650391,-0.057201274,-40.25586,-0.15717578,
1,27-12-17,1,-16.5,-0.064281255,-42.160156,-0.16424894,
1,29-12-17,1,-21.75,-0.08511954,-47.291016,-0.18507537,
1,01-01-18,1,-21.40039,-0.08372118,-46.95117,-0.18367925,
1,03-01-18,1,-19.15039,-0.07543266,-44.527344,-0.17539151,
1,08-01-18,1,102.70117,0.40125716,77.05469,0.30105546,
