sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
120,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
121,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
122,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
123,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
124,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
125,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,0.5,1000,20,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
126,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,0.5,1000,20,-40,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
127,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,0.5,1000,20,-40,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
128,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
129,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
130,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
131,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
132,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
133,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
134,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
135,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
136,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
137,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
138,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-40,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
139,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
140,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
141,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
142,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
143,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
144,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
145,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
146,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
147,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
148,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-40,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
