14:33:45.913409900,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:05.906601400,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:05.906601400,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:25.980310800,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:25.980310800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:45.908046900,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:34:45.908046900,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:05.906707,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:05.906707,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:26.048757600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:26.048757600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:45.908546200,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:35:45.908546200,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:05.930823100,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:05.930823100,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:26.056068600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:26.056068600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:45.908462800,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:36:45.908462800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:37:05.907829,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:37:05.907829,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:37:25.906931900,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:37:25.906931900,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
