S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
3,24-11-21,6,-439.84375,-1.16741,-892.5023,-2.3685713,
3,07-02-23,3,327.19922,0.78685826,78.058014,0.18765588,
3,20-01-21,1,-97.65039,-0.30057278,-162.72424,-0.5008745,
3,25-10-21,3,-417.90234,-1.0253912,-662.86804,-1.6264048,
3,03-03-22,1,377.55078,1.0587441,306.60782,0.85980713,
3,25-10-22,3,-419.94922,-1.0186061,-667.7505,-1.6196141,
3,18-01-22,3,1734.3516,4.4713473,1503.3605,3.8758059,
3,18-01-21,2,886.69727,2.7575989,758.96533,2.3603609,
3,22-11-16,5,5.8984375,0.029593691,-179.82108,-0.9703832,
3,15-02-18,2,273.0,1.068222,171.04959,0.66928715,
3,13-03-20,2,-257.1504,-1.0553689,-355.00604,-1.4564235,
3,04-03-16,1,85.549805,0.55475813,54.793156,0.3553117,
3,20-12-21,5,-368.10547,-1.0699997,-712.6404,-2.071093,
3,30-10-20,6,-242.90039,-1.005744,-533.3003,-2.206744,
3,17-11-16,2,374.39844,1.9398812,297.5728,1.5418181,
3,09-12-20,3,250.09766,0.8123462,65.653244,0.21316195,
3,12-02-21,5,-374.84766,-1.0383457,-736.426,-2.0393727,
3,15-02-16,3,-144.70117,-1.0162781,-230.37659,-1.6172901,
3,26-09-22,2,567.60156,1.4570186,412.34396,1.0584751,
3,12-02-18,2,-155.20117,-0.605795,-257.83408,-1.0064005,
3,23-12-20,3,-245.55078,-0.8235315,-424.70673,-1.4243495,
3,12-02-16,4,-141.45117,-1.0127468,-253.39552,-1.8137666,
3,23-12-21,3,116.19922,0.32417756,-95.36549,-0.27548075,
3,25-10-19,5,-311.9961,-1.0665641,-605.1935,-2.0676167,
3,26-09-19,4,-333.7539,-1.1160593,-573.67114,-1.9171711,
3,29-09-22,2,1082.1016,2.8278227,930.1189,2.430646,
3,13-03-18,4,-257.34766,-1.0384914,-455.98383,-1.8395321,
3,29-09-20,2,202.80078,0.9413941,116.83698,0.5423307,
3,30-10-19,2,126.60156,0.4208349,6.4335556,0.021262325,
3,04-03-20,2,-210.50195,-0.7376808,-324.86877,-1.1384199,
3,30-10-18,3,108.89844,0.43252748,-41.216568,-0.16704887,
3,04-03-21,5,-391.09766,-1.0900558,-750.75354,-2.0911684,
3,04-03-22,2,-259.64844,-0.7459737,-399.0473,-1.1467185,
3,28-09-18,4,152.19922,0.5992889,-49.91159,-0.20009857,
3,10-03-16,1,75.34961,0.49413309,44.927258,0.2946239,
3,08-02-16,4,-167.84961,-1.102037,-289.90225,-1.9031459,
3,10-03-21,2,290.9961,0.80633193,146.9339,0.40714824,
3,22-01-16,3,-160.14941,-1.0451239,-252.25366,-1.646177,
3,08-02-18,5,-293.5,-1.1312441,-553.50543,-2.1323624,
3,10-03-22,1,-109.35156,-0.31382778,-179.14981,-0.5141376,
3,28-09-20,5,-282.70312,-1.3195727,-497.36642,-2.320914,
3,28-09-21,2,-230.30078,-0.609149,-381.75757,-1.0097587,
3,28-09-22,4,2391.1016,6.240497,2086.9688,5.4467273,
3,06-03-18,3,1520.5,6.078809,1371.9407,5.48489,
3,31-10-18,5,-327.85156,-1.3207575,-576.46173,-2.322083,
3,31-10-19,3,-288.7461,-0.956536,-470.15387,-1.5574875,
3,05-03-20,4,-326.0,-1.1303573,-557.3477,-1.9314805,
3,11-03-20,6,529.5996,1.9825237,210.07373,0.7845081,
3,23-11-21,1,172.19922,0.46029404,97.55001,0.26075637,
3,11-03-22,4,-360.30078,-1.0393001,-638.18066,-1.8403478,
3,18-11-20,4,-297.3496,-1.0107069,-533.48047,-1.8117243,
3,11-03-16,4,154.0,1.005222,31.932388,0.20623502,
3,26-10-21,2,-261.60156,-0.63529754,-426.57446,-1.0359323,
3,16-12-20,3,575.9004,1.8652811,391.2313,1.2671564,
3,21-12-21,2,347.15234,0.9905829,207.84328,0.5915749,
3,08-02-22,5,-575.39844,-1.5239248,-953.68555,-2.525454,
3,08-02-21,1,300.84766,0.82740474,228.4277,0.62823755,
3,31-10-22,3,-165.29688,-0.40089017,-413.0747,-1.00129,
