Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1122,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1123,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1124,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1125,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1126,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1127,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1128,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1129,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1130,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1131,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1132,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1133,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1134,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1135,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1136,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1137,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1138,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1139,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1140,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.7,TRUE,1000,1000,1000,1.5,1000,10,5
1141,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1142,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1143,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1144,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1145,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1146,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1147,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1148,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1149,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1150,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1151,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1152,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1153,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1154,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1155,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1156,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1157,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1158,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1159,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.8,TRUE,1000,1000,1000,1.5,1000,10,5
1160,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1161,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1162,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1163,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1164,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1165,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1166,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1167,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1168,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1169,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1170,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1171,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
1172,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.9,TRUE,1000,1000,1000,1.5,1000,10,5
