sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
15071,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15072,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,3,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15073,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,6,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15074,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,0,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15075,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15076,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,2,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15077,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,2,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15078,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,3,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15079,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15080,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,20,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15081,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0,20,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15082,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,1,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15083,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15084,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,1,4,30,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
