S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1028,24-05-21,2,-561.64844,-1.5977011,-631.6797,-1.7969172,
1028,28-05-21,2,-299.95312,-0.84961736,-370.41406,-1.0492015,
1028,03-06-21,2,-161.09766,-0.45328432,-232.09766,-0.653064,
1028,09-06-21,2,-266.0,-0.7517376,-336.63672,-0.95136297,
1028,21-06-21,1,237.19922,0.68445987,202.42578,0.58411795,
1028,05-07-21,2,-45.30078,-0.12905726,-115.48047,-0.32899284,
1028,22-07-21,3,142.40234,0.40874887,37.734375,0.108520776,
1028,04-10-21,3,114.75391,0.30593804,2.0976562,0.0057881996,
1028,01-11-21,1,112.44922,0.28347158,72.72266,0.18332548,
1028,15-11-21,1,-244.0,-0.62446177,-282.94922,-0.7241433,
1028,03-12-21,2,-583.1992,-1.5844704,-656.51953,-1.7836754,
1028,08-12-21,1,78.19922,0.2110492,41.10547,0.11093815,
1028,13-12-21,2,-54.253906,-0.1447464,-129.1875,-0.34467316,
1028,21-12-21,1,77.35156,0.22206083,42.476562,0.1219417,
1028,23-12-21,2,182.80078,0.51923454,112.296875,0.31897837,
1028,31-12-21,1,-63.94922,-0.17995033,-99.45703,-0.2798678,
1028,03-01-22,2,1269.2031,3.5444496,1196.9492,3.3426695,
1028,05-01-22,2,1138.6484,3.06851,1063.8633,2.8669739,
1028,06-01-22,1,-300.0,-0.7951011,-337.58203,-0.89470613,
1028,10-01-22,3,-82.59766,-0.21643396,-196.86719,-0.5163181,
1028,27-01-22,1,404.94922,1.0771201,367.15234,0.97658455,
1028,01-02-22,2,-520.4531,-1.3456497,-597.54297,-1.5449731,
1028,09-02-22,1,-21.949219,-0.057111535,-60.371094,-0.15708467,
1028,10-02-22,3,174.19922,0.44635916,57.007812,0.14612572,
1028,03-03-22,1,-369.44922,-1.0384583,-404.84375,-1.1379464,
1028,04-03-22,1,-238.30078,-0.6830187,-273.0703,-0.7826752,
1028,08-03-22,1,507.75,1.5535456,474.81445,1.4527739,
1028,09-03-22,6,1810.3398,5.3992023,1608.1875,4.7964945,
1028,10-03-22,1,256.15234,0.73450494,221.14844,0.63413286,
